Area,Item,Year,Area_Harvested_ha,Production_ton,Yield_kg_ha
Afghanistan,Rice,2022,128000.0,592000.0,4625.0
Afghanistan,Rice,2023,129000.0,597000.0,4627.9
Afghanistan,Sesame seed,2019,71081.0,33139.0,466.2
Afghanistan,Sesame seed,2020,64862.0,41855.0,645.3
Afghanistan,Sesame seed,2021,27472.0,19000.0,691.6
Afghanistan,Sesame seed,2022,48793.0,41871.0,858.1
Afghanistan,Sesame seed,2023,20000.0,14000.0,700.0
Afghanistan,Soya beans,2022,1828.0,2906.0,1589.7
Afghanistan,Soya beans,2023,3000.0,6000.0,2000.0
Afghanistan,Sugar cane,2019,1653.0,36538.0,22104.1
Afghanistan,Sugar cane,2020,1541.0,40292.0,26146.7
Afghanistan,Sugar cane,2021,1582.0,41434.0,26190.9
Afghanistan,Sugar cane,2022,1705.0,58394.0,34248.7
Afghanistan,Sugar cane,2023,2000.0,56000.0,28000.0
Afghanistan,Sunflower seed,2019,981.0,882.0,899.1
Afghanistan,Sunflower seed,2020,362.0,387.0,1069.1
Afghanistan,Sunflower seed,2021,599.0,693.52,1157.8
Afghanistan,Sunflower seed,2022,678.0,759.92,1120.8
Afghanistan,Sunflower seed,2023,1000.0,1067.94,1067.9
Afghanistan,"Walnuts, in shell",2019,5025.0,14690.0,2923.4
Afghanistan,"Walnuts, in shell",2020,5206.0,14877.0,2857.7
Afghanistan,"Walnuts, in shell",2021,8301.0,23360.0,2814.1
Afghanistan,"Walnuts, in shell",2022,8301.0,19560.0,2356.3
Afghanistan,"Walnuts, in shell",2023,8000.0,27000.0,3375.0
Afghanistan,Watermelons,2019,48298.0,846990.0,17536.8
Afghanistan,Watermelons,2020,66244.0,990318.0,14949.6
Afghanistan,Watermelons,2021,66108.0,935859.12,14156.5
Afghanistan,Watermelons,2022,60768.0,891291.27,14667.2
Afghanistan,Watermelons,2023,61591.0,943668.36,15321.6
Afghanistan,Wheat,2019,2334000.0,4890000.0,2095.1
Afghanistan,Wheat,2020,2668000.0,5185000.0,1943.4
Afghanistan,Wheat,2021,2046564.0,4017657.0,1963.1
Afghanistan,Wheat,2022,1859339.0,3802895.0,2045.3
Afghanistan,Wheat,2023,2003070.0,4300000.0,2146.7
Albania,Apples,2019,4407.0,107713.0,24441.3
Albania,Apples,2020,4420.0,102167.0,23114.7
Albania,Apples,2021,4242.0,111247.2,26225.8
Albania,Apples,2022,4294.0,103645.0,24137.2
Albania,Apples,2023,4365.0,97273.87,22284.2
Albania,Apricots,2019,341.0,4875.0,14296.2
Albania,Apricots,2020,344.0,5143.0,14950.6
Albania,Apricots,2021,345.0,5056.7,14657.1
Albania,Apricots,2022,364.0,5500.0,15109.9
Albania,Apricots,2023,354.0,5578.33,15751.3
Albania,Barley,2019,2742.0,7942.0,2896.4
Albania,Barley,2020,3771.0,12645.0,3353.2
Albania,Barley,2021,5071.0,15310.0,3019.1
Albania,Barley,2022,5597.0,19014.0,3397.2
Albania,Barley,2023,6260.0,21178.8,3383.2
Albania,"Beer of barley, malted",2019,171281.03645017848,62500.0,12705.65079886103
Albania,"Beer of barley, malted",2020,171281.03645017848,56000.0,12705.65079886103
Albania,"Beer of barley, malted",2021,171281.03645017848,58000.0,12705.65079886103
Albania,"Beer of barley, malted",2022,171281.03645017848,75000.0,12705.65079886103
Albania,Cabbages,2019,2023.0,70411.0,34805.2
Albania,Cabbages,2020,1813.0,64951.0,35825.2
Albania,Cabbages,2021,1992.0,69126.9,34700.5
